RANK,SUM,Pop_SD,VAR
10487,5484,3492.394,26688.8
52436,5727.581,2970.5,19307.793
2097,5941,3379.058,24982.819
20975,6032.4,3671.995,29503.92
56631,5361.981,2843.911,17699.153
232817,6763.6,3180.263,22131.139
216037,6550.181,2969.586,19295.454
25169,5514.619,3019.856,19953.534
25169,5727.581,3156.956,21806.212
343982,6520.019,2996.549,19649.172
27267,6580.8,3643.661,29052.861
104873,5606.019,2968.672,19283.572
266376,7098.581,2841.169,17662.593
18877,6550.181,3281.26,23561.092
18877,5575.4,3300.454,23837.12
77606,5971.619,2982.839,19466.372
2097,5331.819,3534.438,27338.654
4195,6550.181,3647.317,29105.873
115360,6123.8,3066.927,20583.28
289448,6702.819,2874.073,18077.092
8390,5727.581,3480.055,26497.774
6292,5179.181,3281.26,23561.092
339787,6855,3265.722,23337.619
8390,5301.2,3239.216,22959.68
8390,5453.381,3405.564,25376.753
4195,6063.019,3525.755,27204.753
12585,5971.619,3310.051,23975.134
4195,6032.4,3835.144,32185.139
184576,6611.419,3125.88,21379.374
6292,6001.781,3307.766,23938.574
39852,6702.819,3204.027,22464.292
10487,5331.819,3221.393,22707.873
100678,6641.581,3390.483,25157.393
241207,6398,3308.223,23946.8
90190,6306.6,3338.385,24385.52
2097,5301.2,3581.966,28078.08
113262,6641.581,3002.947,19734.174
4195,5697.419,3349.353,24548.212
31462,6306.6,3683.42,29686.72
54534,5423.219,2841.169,17662.593
10487,5453.381,3368.547,24828.353
88093,6702.819,3475.028,26424.654
16780,5575.4,3050.475,20363.92
2097,5758.2,3597.504,28321.661
69216,6763.6,3257.953,23227.939
16780,6367.381,3565.057,27813.934
121652,6123.8,3062.357,20522.499
2097,5818.981,3634.978,28910.734
39852,6458.781,3129.993,21440.612
6292,5392.6,3444.866,25969.939
167796,6245.819,3377.687,24962.254
276863,6915.781,3204.941,22476.174
8390,4844.2,2835.685,17597.699
2097,5453.381,3229.162,22817.553
23072,5544.781,2984.667,19490.593
18877,5514.619,2949.935,19039.534
4195,5880.219,3555.003,27655.812
60826,6367.381,3263.437,23305.172
88093,6824.381,3600.246,28362.334
2097,5209.8,3483.711,26554.899
96483,6458.781,2989.237,19551.374
14682,6184.581,3361.692,24731.012
25169,6154.419,3361.692,24731.012
27267,5606.019,3401.451,25315.972
6292,5057.619,3155.128,21781.534
12585,5606.019,3124.052,21355.153
10487,4661.4,2644.659,15306.301
27267,5544.781,3398.709,25279.412
4195,5697.419,3324.218,24182.612
8390,5575.4,3354.837,24629.101
62924,5849.6,3013.915,19876.301
52436,6093.181,3281.26,23561.092
58729,6093.181,3398.252,25267.073
123750,6641.581,3337.014,24365.412
69216,6154.419,3121.31,21318.593
35657,5880.219,3134.563,21501.393
96483,6458.781,3103.487,21075.012
29364,5910.381,3343.412,24462.753
98580,6032.4,3145.074,21643.52
8390,6123.8,3659.199,29296.899
2097,5179.181,3302.282,23865.454
69216,6063.019,2954.505,19100.772
113262,6611.419,2860.82,17906.174
33559,6306.6,3412.419,25482.32
127944,6063.019,2759.366,16663.134
46144,6367.381,3687.99,29763.953
2097,5575.4,3560.487,27736.701
56631,5849.6,3109.428,21155.901
8390,5636.181,3098.003,21001.892
23072,5606.019,3438.011,25864.372
37754,6093.181,2965.016,19234.673
2097,5149.019,3372.66,24889.134
10487,5941,3492.394,26688.8
2097,5818.981,3596.133,28301.553
25169,5880.219,3286.287,23634.212
2097,6063.019,3770.25,31104.334
2097,4966.219,3378.144,24974.593
2097,5514.619,3611.671,28545.134
207648,6520.019,2635.519,15200.734
39852,6458.781,3058.244,20465.374
222330,6520.019,2819.233,17394.334
4195,5484,3724.093,30344.8
25169,5910.381,3442.124,25925.153
16780,6245.819,3402.365,25327.854
2097,5484,3671.081,29491.581
33559,6063.019,3305.938,23914.353
10487,4661.4,2953.134,19084.32
31462,5941,3464.517,26262.419
62924,6123.8,3320.105,24117.261
58729,5788.819,3133.649,21489.054
14682,5727.581,3204.941,22476.174
6292,4935.6,3140.504,21582.739
69216,6093.181,2780.845,16919.054
245402,6611.419,3209.511,22537.412
14682,6184.581,3239.673,22963.793
2097,4722.181,3084.293,20819.092
52436,6824.381,3433.898,25803.134
81801,5880.219,3058.244,20465.374
25169,6001.781,3369.918,24852.574
184576,6398,2975.984,19376.8
54534,5392.6,3188.946,22252.701
27267,5971.619,3267.55,23365.953
12585,5788.819,3526.669,27217.092
25169,6275.981,3393.225,25193.953
39852,5606.019,2873.159,18064.753
46144,6123.8,3394.596,25214.061
10487,5057.619,3145.988,21659.972
104873,5818.981,3301.825,23853.572
4195,5514.619,3364.434,24767.572
29364,6367.381,3417.903,25559.553
37754,6702.819,3377.687,24962.254
20975,5971.619,3380.886,25011.153
400613,6672.2,3062.357,20522.499
10487,5118.4,3045.905,20303.139
96483,6154.419,2826.545,17479.793
18877,6275.981,3259.324,23243.934
2097,5240.419,3390.483,25157.393
119555,6337.219,3112.17,21196.574
50339,5880.219,3116.74,21257.812
16780,5910.381,3356.208,24645.553
8390,5331.819,2974.156,19356.692
10487,5606.019,3446.237,25985.934
2097,4783.419,3439.839,25888.593
302033,6245.819,2800.496,17163.092
62924,5788.819,2805.523,17223.873
438367,6824.381,2682.59,15749.134
6292,5880.219,3700.786,29970.974
146822,6093.181,2795.469,17101.854
2097,6093.181,3771.164,31116.673
48241,5697.419,3161.069,21866.993
201355,6855,3244.243,23032.8
119555,6063.019,2863.562,17942.734
6292,6184.581,3601.617,28387.012
33559,5880.219,3196.258,22354.612
270571,6672.2,3519.357,27103.299
12585,5118.4,2707.268,16037.501
4195,5880.219,3491.937,26680.574
6292,5544.781,3499.706,26802.593
2097,5818.981,3517.986,27082.734
71313,6275.981,3216.366,22634.753
6292,5240.419,2885.041,18210.993
33559,5575.4,3245.157,23045.139
10487,4935.6,2962.731,19206.339
48241,6398,3423.844,25652.781
2097,5758.2,3495.593,26737.699
18877,6275.981,3293.142,23731.553
138432,6123.8,2922.972,18694.499
46144,6337.219,3605.73,28447.793
356567,6885.619,3137.305,21537.953
255889,6458.781,2771.705,16809.374
268474,6794.219,2502.532,13701.774
2097,5453.381,3433.898,25803.134
71313,5818.981,2982.839,19466.372
16780,5484,3121.767,21326.819
71313,5697.419,3147.816,21684.193
134237,6367.381,3005.689,19770.734
161504,6428.619,2799.582,17150.753
65021,5941,3291.314,23703.219
25169,5666.8,3204.484,22472.061
119555,6093.181,2931.655,18808.292
12585,5910.381,3438.011,25864.372
56631,5788.819,2992.893,19600.273
56631,6489.4,3338.385,24385.52
12585,6154.419,3651.887,29178.993
23072,5484,2832.029,17548.8
54534,5727.581,3112.17,21196.574
16780,5575.4,2934.397,18840.739
6292,5575.4,3493.308,26701.139
60826,5849.6,3045.905,20303.139
62924,5788.819,3191.231,22281.492
94385,6275.981,3241.958,23000.353
4195,5636.181,3486.91,26607.454
6292,6001.781,3406.935,25400.974
14682,6154.419,3365.805,24791.793
16780,5880.219,3382.714,25035.374
16780,5209.8,2946.736,18998.861
27267,5240.419,3303.196,23877.793
14682,5971.619,3106.229,21111.572
48241,6306.6,3375.402,24933.92
8390,5758.2,3277.604,23508.08
60826,6245.819,3377.687,24962.254
186673,7098.581,3053.674,20404.593
4195,5514.619,3372.66,24889.134
54534,5727.581,3235.103,22903.012
20975,5361.981,3220.479,22695.534
8390,5514.619,3181.177,22147.134
31462,5606.019,3339.299,24401.972
44046,6184.581,3076.524,20709.412
62924,6063.019,2959.075,19161.553
54534,6580.8,3719.523,30271.68
151016,6611.419,3353.466,24608.993
2097,5727.581,3753.341,30824.193
10487,5544.781,3475.942,26436.993
65021,6154.419,3406.935,25400.974
62924,6001.781,2831.115,17540.574
